id_plot specrich total_ba rba_fsyl rba_qrob rba_qrub fragm specrich_std total_ba_std rba_fsyl_std rba_qrob_std rba_qrub_std fragm_std id_frag speccomb
24 3 2.8770509172 0.5086571076 0.2028158633 0.2885270291 0.6560243704 1.8843103989 -1.0034728226 0.4858040361 -0.359816333 -0.1341082784 0.2658076157 7 all
25 2 3.0391767331 0 0.5952682448 0.4047317552 2.5671675316 0.4576182397 -0.7242260729 -0.915314777 0.7485790414 0.184170253 1.0401636152 8 qrob_qrub
26 1 4.1524393598 1 0 0 4.4430892993 -0.9690739194 1.1932660202 1.8392300671 -0.9326250999 -0.924368384 1.8002486286 9 fsyl
27 2 3.9809869408 0.627324291 0.372675709 0 5.9751485376 0.4576182397 0.8979550577 0.8126781144 0.1199154158 -0.924368384 2.4210075999 10 fsyl_qrob
28 2 3.556204344 0.4275271097 0.5724728903 0 3.6541257366 0.4576182397 0.1663062526 0.2623278188 0.6841985798 -0.924368384 1.4805767796 11 fsyl_qrob
29 3 3.1652331383 0.3201161262 0.4107838515 0.2691000223 3.1309059987 1.8843103989 -0.507105553 -0.0335405522 0.2275434769 -0.1873178113 1.2685788762 11 all
30 2 3.4678470507 0.4745549667 0.5254450333 0 1.9372450929 0.4576182397 0.0141189724 0.3918681598 0.5513787483 -0.924368384 0.7849319666 12 fsyl_qrob
31 1 3.4378448408 0 1 0 2.4004065197 -0.9690739194 -0.0375570642 -0.915314777 1.8916548042 -0.924368384 0.9725954745 13 qrob
32 2 3.1349364042 0 0.461314911 0.538685089 0.3977667933 0.4576182397 -0.5592888804 -0.915314777 0.3702573326 0.551061272 0.161166944 14 qrob_qrub
33 1 4.4221450891 0 0 1 1.0119337046 -0.9690739194 1.6578092385 -0.915314777 -0.9326250999 1.8145781472 0.410014776 14 qrub
34 2 3.9875646504 0 0.5986852796 0.4013147204 0.3679893542 0.4576182397 0.9092845552 -0.915314777 0.7582297041 0.1748111774 0.1491017366 14 qrob_qrub
35 1 2.8005138662 0 1 0 -0.3176856006 -0.9690739194 -1.1353008267 -0.915314777 1.8916548042 -0.924368384 -0.1287196877 14 qrob
36 1 3.3970630412 0 0 1 0.2808356354 -0.9690739194 -0.1077999489 -0.915314777 -0.9326250999 1.8145781472 0.1137888378 15 qrub
37 1 2.2582160693 0 0 1 -1.5200575173 -0.9690739194 -2.0693587145 -0.915314777 -0.9326250999 1.8145781472 -0.6158961202 15 qrub
